,PRICE,MILEAGE_KM,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,CAR_AGE,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,POWER,LISTING_URL,BRAND
3522,83888.0,135000.0,34935.0,2342.0,14.0,22550.0,56996.0,1796.0,1650.0,201.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289915&DL=1000&utm_content=SLeligible,Mercedes-Benz
3523,66800.0,123000.0,49156.0,820.0,8.0,33152.0,35589.0,1595.0,1425.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1249004&DL=1028&utm_content=SLeligible,Mercedes-Benz
3524,35800.0,92000.0,46009.0,737.0,8.0,17674.0,18974.0,1197.0,1285.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1267844&DL=1090&utm_content=SLeligible,Nissan
3525,71800.0,143000.0,27886.0,1858.0,15.0,14279.0,36976.0,1597.0,1500.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1286614&DL=4016&utm_content=SLeligible,Mercedes-Benz
3529,139788.0,73000.0,32551.0,1555.0,6.0,57074.0,49693.0,1991.0,1735.0,207.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288974&DL=4398,Mercedes-Benz
3530,66800.0,128000.0,57414.0,1308.0,7.0,32923.0,18417.0,1591.0,1594.0,174.0,https://www.sgcarmart.com/used_cars/info.php?ID=1255661&DL=2080&utm_content=SLeligible,Hyundai
3533,98888.0,165000.0,31553.0,1703.0,16.0,14852.0,117009.0,4244.0,1880.0,399.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289219&DL=1000&utm_content=SLeligible,Maserati
3534,49888.0,95000.0,50786.0,1101.0,8.0,26906.0,17825.0,1998.0,1417.0,147.0,https://www.sgcarmart.com/used_cars/info.php?ID=1284976&DL=1095,Mitsubishi
3537,62800.0,92200.0,53001.0,738.0,8.0,27898.0,20878.0,1998.0,1664.0,148.0,https://www.sgcarmart.com/used_cars/info.php?ID=1280694&DL=2485&utm_content=SLeligible,Mazda
3538,50800.0,80000.0,48000.0,972.0,8.0,23646.0,18019.0,1496.0,1325.0,105.0,https://www.sgcarmart.com/used_cars/info.php?ID=1285720&DL=4412,Toyota
3540,70800.0,79188.0,37605.0,1469.0,6.0,24673.0,13612.0,1995.0,1591.0,147.0,https://www.sgcarmart.com/used_cars/info.php?ID=1254184&DL=2199&utm_content=SLeligible,Subaru
3541,78800.0,48000.0,34381.0,1580.0,6.0,32013.0,23069.0,1997.0,1425.0,142.0,https://www.sgcarmart.com/used_cars/info.php?ID=1282560&DL=1193,Nissan
3543,42000.0,113800.0,51506.0,880.0,8.0,20674.0,18689.0,1197.0,1285.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1274717&DL=4309&utm_content=SLeligible,Nissan
3546,63800.0,189000.0,27886.0,1858.0,15.0,14279.0,36990.0,1597.0,1500.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289083&DL=4343&utm_content=SLeligible,Mercedes-Benz
3547,101800.0,80000.0,38700.0,1582.0,6.0,46211.0,35611.0,1595.0,1430.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1269619&DL=2049&utm_content=SLeligible,Mercedes-Benz
3548,55000.0,176000.0,56209.0,577.0,9.0,19052.0,22209.0,1595.0,1395.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1269894&DL=4120&utm_content=SLeligible,Mercedes-Benz
3551,144777.0,29000.0,59501.0,2646.0,3.0,75011.0,35886.0,1499.0,1375.0,134.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290137&DL=3648,BMW
3554,49800.0,98000.0,47112.0,1284.0,7.0,20802.0,20749.0,999.0,1203.0,103.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290025&DL=1172,Opel
3558,132000.0,105000.0,31001.0,1706.0,6.0,42815.0,34487.0,2362.0,1775.0,167.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289776&DL=1000&utm_content=SLeligible,Toyota
3560,133800.0,126.0,95202.0,3441.0,3.0,95618.0,21892.0,1490.0,1120.0,118.0,https://www.sgcarmart.com/used_cars/info.php?ID=1245369&DL=3968&utm_content=SLeligible,Toyota
3563,105800.0,146171.0,35411.0,1827.0,18.0,17832.0,18561.0,1994.0,1395.0,221.0,https://www.sgcarmart.com/used_cars/info.php?ID=1253421&DL=1034&utm_content=SLeligible,Subaru
3564,34800.0,124000.0,60003.0,607.0,9.0,20418.0,18596.0,1998.0,1454.0,162.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289745&DL=4645,Mazda
3565,49800.0,127000.0,65501.0,432.0,10.0,38305.0,44903.0,1984.0,1830.0,221.0,https://www.sgcarmart.com/used_cars/info.php?ID=1228310&DL=4485,Audi
3566,48800.0,107839.0,51765.0,1095.0,8.0,23987.0,22151.0,1496.0,1190.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289350&DL=1032,Honda
3567,125000.0,61200.0,36001.0,1976.0,5.0,48027.0,32855.0,1332.0,1375.0,160.0,https://www.sgcarmart.com/used_cars/info.php?ID=1279055&DL=1127&utm_content=SLeligible,Mercedes-Benz
3568,68800.0,81228.0,8920.0,1736.0,6.0,13807.0,22602.0,1496.0,1190.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289017&DL=1213,Honda
3569,105888.0,40000.0,58124.0,2707.0,13.0,43330.0,49513.0,2497.0,1650.0,201.0,https://www.sgcarmart.com/used_cars/info.php?ID=1268414&DL=1027&utm_content=SLeligible,BMW
3571,56588.0,163636.0,36888.0,1551.0,16.0,15796.0,49425.0,1796.0,1415.0,181.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289649&DL=3878&utm_content=SLeligible,Mercedes-Benz
3572,159777.0,81000.0,47001.0,2558.0,4.0,64474.0,35735.0,1497.0,1520.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1254581&DL=3648&utm_content=SLeligible,Mercedes-Benz
3573,238800.0,40000.0,35001.0,2342.0,4.0,86450.0,62928.0,2995.0,1800.0,348.0,https://www.sgcarmart.com/used_cars/info.php?ID=1283085&DL=3452,Audi
3575,152000.0,57.0,85001.0,3501.0,2.0,89143.0,23323.0,1496.0,1250.0,116.0,https://www.sgcarmart.com/used_cars/info.php?ID=1272272&DL=1163&utm_content=SLeligible,Honda
