,PRICE,PREDICTED_PRICE,LISTING_URL,BRAND,RECOMMENDED
323,127200.0,128176.96,https://www.sgcarmart.com/used_cars/info.php?ID=1286411&DL=3613,BMW,True
324,84500.0,84597.11,https://www.sgcarmart.com/used_cars/info.php?ID=1270833&DL=2456&utm_content=SLeligible,Audi,True
326,57500.0,58055.215,https://www.sgcarmart.com/used_cars/info.php?ID=1277236&DL=2097&utm_content=SLeligible,Kia,True
330,62300.0,62926.78,https://www.sgcarmart.com/used_cars/info.php?ID=1281313&DL=2952,Ford,True
331,84800.0,88559.47,https://www.sgcarmart.com/used_cars/info.php?ID=1287697&DL=3722,Nissan,True
332,45800.0,47131.295,https://www.sgcarmart.com/used_cars/info.php?ID=1290342&DL=1368,Mazda,True
334,76300.0,77385.28,https://www.sgcarmart.com/used_cars/info.php?ID=1278543&DL=2494&utm_content=SLeligible,BMW,True
337,45000.0,49684.76,https://www.sgcarmart.com/used_cars/info.php?ID=1285557&DL=4383,Volkswagen,True
338,39500.0,40326.16,https://www.sgcarmart.com/used_cars/info.php?ID=1289581&DL=2223,Honda,True
341,239800.0,247699.96,https://www.sgcarmart.com/used_cars/info.php?ID=1248641&DL=3350&utm_content=SLeligible,BMW,True
342,57800.0,65641.22,https://www.sgcarmart.com/used_cars/info.php?ID=1289303&DL=3892,Toyota,True
343,160000.0,160898.35,https://www.sgcarmart.com/used_cars/info.php?ID=1260194&DL=2093&utm_content=SLeligible,Mercedes-Benz,True
345,76800.0,77408.2,https://www.sgcarmart.com/used_cars/info.php?ID=1261397&DL=4523&utm_content=SLeligible,Lexus,True
348,55800.0,58884.27,https://www.sgcarmart.com/used_cars/info.php?ID=1254143&DL=3405&utm_content=SLeligible,Volvo,True
350,84800.0,86280.325,https://www.sgcarmart.com/used_cars/info.php?ID=1289094&DL=3037,SEAT,True
356,46688.0,50900.915,https://www.sgcarmart.com/used_cars/info.php?ID=1289101&DL=3160&utm_content=SLeligible,BMW,True
358,103800.0,106536.725,https://www.sgcarmart.com/used_cars/info.php?ID=1234747&DL=3426&utm_content=SLeligible,SEAT,True
360,92800.0,94499.025,https://www.sgcarmart.com/used_cars/info.php?ID=1270879&DL=3163&utm_content=SLeligible,Honda,True
361,69800.0,77006.415,https://www.sgcarmart.com/used_cars/info.php?ID=1236188&DL=4277&utm_content=SLeligible,Opel,True
362,98800.0,99236.055,https://www.sgcarmart.com/used_cars/info.php?ID=1289410&DL=3892,Honda,True
363,157800.0,159437.02,https://www.sgcarmart.com/used_cars/info.php?ID=1289106&DL=3475,BMW,True
