,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,POWER,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
67,https://www.sgcarmart.com/used_cars/info.php?ID=1243921&DL=2049&utm_content=SLeligible,Porsche,169800,18960,15-Apr-2013,123000,2013,3690,Auto,95756,18/04/2024,,,246,106916,2953,2967,1955,3,Luxury
68,https://www.sgcarmart.com/used_cars/info.php?ID=1289051&DL=2725,Nissan,56800,14190,11-Oct-2017,130000,2017,508,Auto,24203,18/04/2024,19881,14881,113,41761,1247,1197,1325,1,SUV
69,https://www.sgcarmart.com/used_cars/info.php?ID=1288698&DL=2927,Subaru,48000,17170,08-Jul-2016,165000,2016,1210,Auto,24106,18/04/2024,19805,19805,237,55100,799,1998,1682,3,SUV
70,https://www.sgcarmart.com/used_cars/info.php?ID=1289567&DL=2648&utm_content=SLeligible,BMW,126944,18040,31-May-2011,,2011,3097,Auto,33290,18/04/2024,72418,72418,254,47316,2557,2996,1855,2,Luxury Sedan
71,https://www.sgcarmart.com/used_cars/info.php?ID=1285789&DL=3214,Toyota,109800,14620,24-May-2021,72639,2019,682,Auto,38717,18/04/2024,,,97,41801,2590,1496,1380,2,MPV
72,https://www.sgcarmart.com/used_cars/info.php?ID=1278736&DL=2984&utm_content=SLeligible,BMW,109800,15730,31-Dec-2019,85000,2019,684,Auto,48909,18/04/2024,34427,40198,107,32889,2067,1499,1490,1,MPV
73,https://www.sgcarmart.com/used_cars/info.php?ID=1225065&DL=3137,Toyota,32800,22620,19-Jun-2015,,2015,742,Auto,15047,18/04/2024,17804,12804,120,68589,425,1598,1205,2,Mid-Sized Sedan
74,https://www.sgcarmart.com/used_cars/info.php?ID=1282073&DL=1136,Nissan,31800,15050,18-Dec-2015,104546,2015,508,Auto,16728,18/04/2024,18454,13454,113,56001,584,1197,1285,1,SUV
75,https://www.sgcarmart.com/used_cars/info.php?ID=1277035&DL=3382&utm_content=SLeligible,BMW,67888,17060,23-Jun-2017,88107,2017,1082,Auto,32121,18/04/2024,,,113,45201,1159,1496,1480,1,MPV
76,https://www.sgcarmart.com/used_cars/info.php?ID=1289487&DL=4412,BMW,48800,16850,27-May-2016,83000,2016,1082,Auto,26081,18/04/2024,,,113,49000,768,1496,1480,2,MPV
77,https://www.sgcarmart.com/used_cars/info.php?ID=1222048&DL=3451&utm_content=SLeligible,Volkswagen,95888,18520,09-May-2018,72000,2018,1194,Auto,44849,18/04/2024,35354,41496,217,39000,1460,1984,1790,1,MPV
78,https://www.sgcarmart.com/used_cars/info.php?ID=1199309&DL=2511&utm_content=SLeligible,Ferrari,1250,190430,04-Jan-2019,12000,2018,7854,Auto,507983,18/04/2024,406765,704177,784,32000,1706,6496,1715,2,Sports Car
79,https://www.sgcarmart.com/used_cars/info.php?ID=1229096&DL=2792&utm_content=SLeligible,BMW,167800,18870,08-Nov-2021,26000,2021,1210,Auto,100388,18/04/2024,41714,50400,154,82801,2735,1998,1490,2,Luxury Sedan
80,https://www.sgcarmart.com/used_cars/info.php?ID=1284048&DL=2729,Volvo,127800,20550,27-May-2019,101000,2018,1176,Auto,61058,18/04/2024,38330,45662,250,52502,1863,1969,1899,2,SUV
81,https://www.sgcarmart.com/used_cars/info.php?ID=1282014&DL=1043,BMW,428800,39050,26-Sep-2023,7000,2023,2384,Auto,257595,18/04/2024,,,387,126201,3442,2998,2165,1,SUV
82,https://www.sgcarmart.com/used_cars/info.php?ID=1272814&DL=2870&utm_content=SLeligible,Honda,89988,13050,10-Dec-2020,31000,2020,578,Auto,31909,18/04/2024,16464,6464,96,40714,2401,1317,1070,1,Hatchback
83,https://www.sgcarmart.com/used_cars/info.php?ID=1289652&DL=3162&utm_content=SLeligible,Honda,55800,13540,20-Jun-2008,114000,2007,1467,Auto,15951,18/04/2024,19551,19551,138,38712,1493,1799,1390,3,MPV
84,https://www.sgcarmart.com/used_cars/info.php?ID=1284521&DL=4653,Toyota,79800,32500,24-Nov-2015,120000,2015,1792,Auto,40355,18/04/2024,45427,55598,179,61103,580,2494,2065,2,MPV
85,https://www.sgcarmart.com/used_cars/info.php?ID=1248911&DL=2689&utm_content=SLeligible,Land,163777,29920,23-Mar-2017,82500,2015,2380,Auto,106272,18/04/2024,100239,152431,335,51000,764,2995,2214,2,SUV
86,https://www.sgcarmart.com/used_cars/info.php?ID=1289470&DL=3414,Honda,80800,13460,23-Aug-2019,37000,2019,684,Auto,27645,18/04/2024,17608,17608,118,27000,1949,1497,1096,1,Mid-Sized Sedan
87,https://www.sgcarmart.com/used_cars/info.php?ID=1289635&DL=3137&utm_content=SLeligible,Volkswagen,78800,11600,08-Jun-2011,,2011,806,Auto,25902,18/04/2024,25740,25740,158,38137,2463,1390,1285,6,Sports Car
88,https://www.sgcarmart.com/used_cars/info.php?ID=1280951&DL=3137&utm_content=SLeligible,Toyota,58800,16270,29-Nov-2007,,2006,2457,Auto,18129,18/04/2024,27945,30740,167,50168,1305,2362,1700,5,MPV
89,https://www.sgcarmart.com/used_cars/info.php?ID=1290377&DL=3632,Mercedes-Benz,268888,26560,12-Apr-2023,8200,2022,1202,Auto,149709,18/04/2024,46517,60383,301,116201,2954,1991,1680,1,SUV
90,https://www.sgcarmart.com/used_cars/info.php?ID=1288894&DL=1122&utm_content=SLeligible,Volkswagen,84800,12080,26-Apr-2011,135000,2011,806,Auto,29691,18/04/2024,27344,27344,158,42283,2562,1390,1286,5,Hatchback
91,https://www.sgcarmart.com/used_cars/info.php?ID=1286922&DL=4412,BMW,42800,17050,26-Jun-2015,110000,2014,1210,Auto,33313,18/04/2024,41532,45145,181,71509,432,1997,1615,2,Luxury Sedan
92,https://www.sgcarmart.com/used_cars/info.php?ID=1289613&DL=2006&utm_content=SLeligible,Honda,49800,10340,10-Feb-2009,,2008,885,Auto,12391,18/04/2024,13977,13977,97,25727,1732,1339,1010,4,Hatchback
93,https://www.sgcarmart.com/used_cars/info.php?ID=1285539&DL=1400,Toyota,72800,18640,12-May-2017,109000,2016,1196,Auto,37088,18/04/2024,28152,31413,148,54616,1098,1986,1580,1,SUV
94,https://www.sgcarmart.com/used_cars/info.php?ID=1211237&DL=3718&utm_content=SLeligible,Honda,112300,14770,14-Apr-2021,45000,2021,684,Auto,42964,18/04/2024,18150,18150,119,41996,2226,1498,1119,1,Mid-Sized Sedan
95,https://www.sgcarmart.com/used_cars/info.php?ID=1278939&DL=1240&utm_content=SLeligible,Volkswagen,56800,12380,19-Nov-2008,142850,2008,1791,Auto,14740,18/04/2024,31341,31341,197,32121,1670,1984,1391,5,Sports Car
96,https://www.sgcarmart.com/used_cars/info.php?ID=1199824&DL=3100&utm_content=SLeligible,Mitsubishi,110800,26140,14-Jul-2008,,2008,1815,Auto,15634,18/04/2024,32475,32475,276,36888,1525,1998,1520,,Sports Car
97,https://www.sgcarmart.com/used_cars/info.php?ID=1289653&DL=4659,Toyota,15800,12790,14-Jul-2010,134000,2010,1039,Auto,4062,18/04/2024,16680,16680,107,16438,430,1598,1195,5,Mid-Sized Sedan
98,https://www.sgcarmart.com/used_cars/info.php?ID=1289580&DL=4447,Porsche,498888,45400,12-May-2023,3000,2022,3242,Auto,235496,18/04/2024,,,321,115501,3288,,2125,1,Sports
99,https://www.sgcarmart.com/used_cars/info.php?ID=1271730&DL=3271,BMW,16800,15220,27-May-2010,,2010,1691,Auto,3706,18/04/2024,27218,27218,134,16784,403,1995,1390,5,Luxury Sedan
100,https://www.sgcarmart.com/used_cars/info.php?ID=1289346&DL=2077&utm_content=SLeligible,Toyota,68800,13440,16-Jul-2009,144330,2009,1461,Auto,20258,18/04/2024,22837,22837,142,39563,1858,1797,1340,2,MPV
101,https://www.sgcarmart.com/used_cars/info.php?ID=1254181&DL=4547&utm_content=SLeligible,Suzuki,61888,12290,27-May-2009,90321,2009,1104,Auto,13181,18/04/2024,15679,15679,123,26175,1827,1586,1100,,Hatchback
102,https://www.sgcarmart.com/used_cars/info.php?ID=1229975&DL=2291&utm_content=SLeligible,Porsche,243800,25780,16-Jan-2014,54000,2013,2246,Auto,115773,18/04/2024,65212,89382,261,122414,3437,2706,1415,5,Sports Car
103,https://www.sgcarmart.com/used_cars/info.php?ID=1289328&DL=4120&utm_content=SLeligible,Porsche,125800,18320,18-Jan-2012,,2011,4332,Auto,31311,18/04/2024,103484,103484,295,45586,2190,3605,1760,4,Sports Car
