,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
57,https://www.sgcarmart.com/used_cars/info.php?ID=1240781&DL=1013&utm_content=SLeligible,Audi,79900,19530,15-Apr-2008,140000,2007,1791,Auto,16722,13/03/2024,51168,51168,40881,1491,1984,1280,5,Sports Car
58,https://www.sgcarmart.com/used_cars/info.php?ID=1272828&DL=2870,Audi,120988,15640,11-Mar-2021,66000,2019,392,Auto,46772,13/03/2024,22283,23197,41996,2225,999,1280,1,Luxury Sedan
59,https://www.sgcarmart.com/used_cars/info.php?ID=1279014&DL=3597,Toyota,150000,28160,20-Jun-2018,40117,2018,1792,Auto,58158,13/03/2024,48192,59469,38700,1556,2494,2055,1,MPV
60,https://www.sgcarmart.com/used_cars/info.php?ID=1278929&DL=1000&utm_content=SLeligible,Volkswagen,62800,17050,28-Dec-2016,94000,2016,620,Auto,32522,13/03/2024,27444,30422,51109,1004,1390,1551,1,SUV
61,https://www.sgcarmart.com/used_cars/info.php?ID=1277026&DL=3287,Honda,98800,14680,30-Mar-2020,55000,2020,742,Auto,34781,13/03/2024,20009,20013,32699,2196,1597,1237,1,Mid-Sized Sedan
62,https://www.sgcarmart.com/used_cars/info.php?ID=1271341&DL=1068&utm_content=SLeligible,Mercedes-Benz,66800,13350,08-Apr-2014,136000,2014,740,Auto,,13/03/2024,25050,17070,,1825,1595,1425,1,Hatchback
63,https://www.sgcarmart.com/used_cars/info.php?ID=1273697&DL=3647&utm_content=SLeligible,Honda,51800,12090,25-Jun-2008,,2008,1467,Auto,16242,13/03/2024,18230,10938,37906,1551,1799,1240,1,Mid-Sized Sedan
64,https://www.sgcarmart.com/used_cars/info.php?ID=1274295&DL=3100&utm_content=SLeligible,Hyundai,54800,10500,17-Jun-2009,,2009,1107,Auto,14554,13/03/2024,11302,11302,27886,1893,1591,1264,2,Mid-Sized Sedan
65,https://www.sgcarmart.com/used_cars/info.php?ID=1273805&DL=3133&utm_content=SLeligible,Volkswagen,58800,12580,14-Nov-2008,170000,2008,1791,Auto,15013,13/03/2024,29736,29736,32121,1700,1984,1328,2,Sports Car
66,https://www.sgcarmart.com/used_cars/info.php?ID=1240040&DL=3759&utm_content=SLeligible,BMW,104800,16860,29-May-2019,67000,2019,684,Auto,39498,13/03/2024,29931,33904,27000,1890,1499,1380,1,Hatchback
67,https://www.sgcarmart.com/used_cars/info.php?ID=1249763&DL=3626&utm_content=SLeligible,Subaru,32888,16940,20-Aug-2015,95000,2015,1210,Auto,18155,13/03/2024,17141,17141,60789,521,1998,1682,2,SUV
68,https://www.sgcarmart.com/used_cars/info.php?ID=1269841&DL=3647&utm_content=SLeligible,Mazda,44000,15200,24-Aug-2016,88620,2016,682,Auto,21222,13/03/2024,18622,13622,53334,880,1496,1321,2,Mid-Sized Sedan
69,https://www.sgcarmart.com/used_cars/info.php?ID=1260919&DL=3981&utm_content=SLeligible,Subaru,84800,23450,31-Mar-2017,,2017,1210,Auto,32063,13/03/2024,24808,26732,48209,1102,1998,1328,1,Sports Car
70,https://www.sgcarmart.com/used_cars/info.php?ID=1272050&DL=1000&utm_content=SLeligible,2017,59500,15540,13-Nov-2017,57000,2017,974,Auto,21592,13/03/2024,,,50000,1305,1797,1440,2,SUV
71,https://www.sgcarmart.com/used_cars/info.php?ID=1277777&DL=1213,Mercedes-Benz,154800,26220,21-Jan-2019,78974,2018,1202,Auto,53354,13/03/2024,44782,54695,31001,1467,1991,1735,1,SUV
72,https://www.sgcarmart.com/used_cars/info.php?ID=1226691&DL=2541&utm_content=SLeligible,Alpine,191800,29560,29-Jul-2019,11500,2019,976,Auto,70566,13/03/2024,52000,65600,39728,1950,1798,1086,1,Sports Car
73,https://www.sgcarmart.com/used_cars/info.php?ID=1278849&DL=2456,Infiniti,65500,16510,08-Nov-2016,108800,2016,1202,Auto,41106,13/03/2024,36670,43338,56889,945,1991,1540,2,Hatchback
74,https://www.sgcarmart.com/used_cars/info.php?ID=1261513&DL=1127&utm_content=SLeligible,Toyota,126888,21670,29-Mar-2019,33815,2018,1210,Auto,43339,13/03/2024,30806,35129,33689,1830,1998,1695,1,SUV
75,https://www.sgcarmart.com/used_cars/info.php?ID=1278718&DL=3651,Mercedes-Benz,79800,18570,05-Oct-2017,103000,2017,740,Auto,33444,13/03/2024,28815,27341,44002,1276,1595,1430,3,Luxury Sedan
