,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
1846,17740.0,19852.190095603237,True,https://www.sgcarmart.com/used_cars/info.php?ID=1200641&DL=2792&utm_content=SLeligible
1848,11960.0,13837.938785412767,True,https://www.sgcarmart.com/used_cars/info.php?ID=1242307&DL=2976&utm_content=SLeligible
1851,15110.0,15190.57165582202,True,https://www.sgcarmart.com/used_cars/info.php?ID=1265538&DL=2650&utm_content=SLeligible
1852,12980.0,13682.80744304975,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278312&DL=3518
1854,13260.0,14744.856348102614,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278067&DL=3522
1858,13620.0,13832.58612210341,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276852&DL=4309
1859,11950.0,12349.40578446101,True,https://www.sgcarmart.com/used_cars/info.php?ID=1235242&DL=1135&utm_content=SLeligible
1867,17970.0,20666.371085137787,True,https://www.sgcarmart.com/used_cars/info.php?ID=1253050&DL=2296&utm_content=SLeligible
1872,67700.0,80015.49645735785,True,https://www.sgcarmart.com/used_cars/info.php?ID=1261619&DL=1000&utm_content=SLeligible
1875,21480.0,27225.37989589442,True,https://www.sgcarmart.com/used_cars/info.php?ID=1207568&DL=2291&utm_content=SLeligible
1877,18920.0,19968.63010274006,True,https://www.sgcarmart.com/used_cars/info.php?ID=1245137&DL=4371
1879,15210.0,15642.056464495508,True,https://www.sgcarmart.com/used_cars/info.php?ID=1272943&DL=3647
1881,14110.0,15577.136517092385,True,https://www.sgcarmart.com/used_cars/info.php?ID=1225975&DL=2943&utm_content=SLeligible
1882,18890.0,19818.68433024865,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277938&DL=1001
1886,12940.0,15642.147497906684,True,https://www.sgcarmart.com/used_cars/info.php?ID=1193773&DL=2296&utm_content=SLeligible
1887,14770.0,18197.148702631293,True,https://www.sgcarmart.com/used_cars/info.php?ID=1263541&DL=4413&utm_content=SLeligible
1889,23910.0,28445.951763035653,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277396&DL=3863
1893,19760.0,22393.211684215563,True,https://www.sgcarmart.com/used_cars/info.php?ID=1274795&DL=2341
1894,28900.0,32560.37744521225,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278485&DL=4554
1904,20000.0,21309.93247812388,True,https://www.sgcarmart.com/used_cars/info.php?ID=1269216&DL=2303&utm_content=SLeligible
1906,16410.0,20033.872206570548,True,https://www.sgcarmart.com/used_cars/info.php?ID=1261955&DL=2189&utm_content=SLeligible
1908,15150.0,17760.634224050584,True,https://www.sgcarmart.com/used_cars/info.php?ID=1269205&DL=3613&utm_content=SLeligible
1916,13920.0,14133.565540600772,True,https://www.sgcarmart.com/used_cars/info.php?ID=1272547&DL=2448
1917,25940.0,28282.680544689818,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278385&DL=1127
1918,16370.0,16775.56384691737,True,https://www.sgcarmart.com/used_cars/info.php?ID=1246110&DL=3647&utm_content=SLeligible
1919,12240.0,14510.039489137456,True,https://www.sgcarmart.com/used_cars/info.php?ID=1237977&DL=1032&utm_content=SLeligible
1927,20250.0,20337.256337703115,True,https://www.sgcarmart.com/used_cars/info.php?ID=1279003&DL=1000&utm_content=SLeligible
1929,20130.0,20771.983340829724,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278403&DL=1000&utm_content=SLeligible
1937,17380.0,18063.80558424065,True,https://www.sgcarmart.com/used_cars/info.php?ID=1256964&DL=3712&utm_content=SLeligible
1938,22530.0,36186.180287735464,True,https://www.sgcarmart.com/used_cars/info.php?ID=1258790&DL=3811&utm_content=SLeligible
1944,14770.0,17412.330404693785,True,https://www.sgcarmart.com/used_cars/info.php?ID=1279064&DL=4211
1945,12270.0,14886.034317734513,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278219&DL=1000
1948,21910.0,23472.7274708766,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275332&DL=3648
1949,13780.0,14021.961730589399,True,https://www.sgcarmart.com/used_cars/info.php?ID=1266818&DL=1095&utm_content=SLeligible
1950,10970.0,12585.960735284105,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277018&DL=3048&utm_content=SLeligible
1951,18000.0,19954.06699260425,True,https://www.sgcarmart.com/used_cars/info.php?ID=1245950&DL=3810&utm_content=SLeligible
1954,17520.0,21386.691374007594,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278054&DL=1433
1957,13870.0,15215.319119177908,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278637&DL=1277
1959,14400.0,16319.63161264536,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278105&DL=4221
1960,23800.0,24480.050730823667,True,https://www.sgcarmart.com/used_cars/info.php?ID=1237818&DL=1418&utm_content=SLeligible
1964,15510.0,17531.89899008972,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277882&DL=3365
1965,14910.0,15208.993129008064,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278303&DL=3163
1968,15940.0,17322.42760421979,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275746&DL=2283
1970,14340.0,15879.012503833266,True,https://www.sgcarmart.com/used_cars/info.php?ID=1263914&DL=2531&utm_content=SLeligible
1971,14270.0,23715.341664671458,True,https://www.sgcarmart.com/used_cars/info.php?ID=1242430&DL=1120&utm_content=SLeligible
1972,13210.0,14629.613932378663,True,https://www.sgcarmart.com/used_cars/info.php?ID=1279020&DL=3414
1974,16830.0,21338.193277897695,True,https://www.sgcarmart.com/used_cars/info.php?ID=1261202&DL=3163&utm_content=SLeligible
1975,10450.0,12576.942915224798,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267359&DL=1194&utm_content=SLeligible
1978,16020.0,16146.681941973853,True,https://www.sgcarmart.com/used_cars/info.php?ID=1222820&DL=4445&utm_content=SLeligible
1979,35880.0,40741.69605154413,True,https://www.sgcarmart.com/used_cars/info.php?ID=1274618&DL=2341
